"","Y","S"
"1",NA,0.779323705577898
"2",NA,0.181062155496018
"3",NA,0.408052060673304
"4",NA,0.0844329314674656
"5",NA,0.0682376446811794
"6",NA,0.68207234314698
"7",NA,0.159459516678587
"8",NA,0.0224414859750555
"9",NA,0.181062155496018
"10",NA,0.559102988447233
"11",NA,0.0539225926932091
"12",NA,0.356315732702714
"13",NA,0.0604637133663462
"14",NA,0.351359135970178
"15",NA,0.525455974347339
"16",NA,0.354597283768941
"17",NA,0.0430405268842444
"18",NA,0.0610989782919902
"19",NA,0.065013633068725
"20",NA,0.0133758227483946
"21",NA,0.0469084415268373
"22",NA,0.00872131209883077
"23",NA,0.0430405268842444
"24",NA,0.187907716615999
"25",NA,0.00656854210539425
"26",NA,0.843332418927248
"27",NA,0.613058741041752
"28",NA,0.0203067816359298
"29",NA,0.132553007972576
"30",NA,0.546222888484524
"31",NA,0.755122006829695
"32",NA,0.175018356260246
"33",NA,0.454951319922483
"34",NA,0.037385957929098
"35",NA,0.275878744259131
"36",NA,0.263476088104162
"37",NA,0.699258708135068
"38",NA,0.203845755458971
"39",NA,0.111010354427254
"40",NA,0.316596831333955
"41",NA,0.0610989782919902
"42",NA,0.401299876801379
"43",NA,0.0695704626810732
"44",NA,0.559102988447233
"45",NA,0.187907716615999
"46",NA,0.703557782250721
"47",NA,0.0830916756899578
"48",NA,0.600628959598403
"49",NA,0.120664324120981
"50",NA,0.0230442978111338
"51",NA,0.14075981157168
"52",NA,0.0270457386675639
"53",NA,0.201024066147774
"54",NA,0.0423264106404925
"55",NA,0.203845755458971
"56",NA,0.0830916756899578
"57",NA,0.511317839132634
"58",NA,0.135065658965929
"59",NA,0.111010354427254
"60",NA,0.0307614734230996
"61",NA,0.146353940854745
"62",NA,0.266236740947429
"63",NA,0.0693572654455788
"64",NA,0.929541111630873
"65",NA,0.640756837521957
"66",NA,0.385484815996038
"67",NA,0.246366734665212
"68",NA,0.288636434678915
"69",NA,0.335725696941011
"70",NA,0.211880677003596
"71",NA,0.0796899037069406
"72",NA,0.454951319922483
"73",NA,0.118382915046577
"74",NA,0.326324758029231
"75",NA,0.00872131209883077
"76",NA,0.0704938667406264
"77",NA,0.742659829312312
"78",NA,0.146353940854745
"79",0,0.0682376446811794
"80",NA,0.27938372978558
"81",NA,0.443692487628047
"82",NA,0.311925005743075
"83",NA,0.89447601343062
"84",NA,0.0695704626810732
"85",NA,0.00872131209883077
"86",NA,0.268125580850962
"87",NA,0.203845755458971
"88",NA,0.168083194874139
"89",NA,0.0296412261146922
"90",NA,0.427399411493865
"91",NA,0.063762131389948
"92",NA,0.0133758227483946
"93",NA,0.376464054314586
"94",NA,0.101406298426807
"95",NA,0.011571411458116
"96",NA,0.0749623996589947
"97",NA,0.0133758227483946
"98",NA,0.0380200297710926
"99",NA,0.326324758029231
"100",NA,0.00656854210539425
"101",NA,0.471429972760479
"102",NA,0.151589774062128
"103",NA,0.0539225926932091
"104",NA,0.0920148369897462
"105",NA,0.0521669830966086
"106",NA,0.331108471530796
"107",NA,0.352111205229674
"108",NA,0.344253368146498
"109",NA,0.0513095621938637
"110",NA,0.065013633068725
"111",NA,0.0952609845383232
"112",NA,0.717375793943411
"113",NA,0.0177198122167911
"114",NA,0.134575480857677
"115",NA,0.411262331006419
"116",NA,0.148134228662037
"117",NA,0.266881575411228
"118",NA,0.0569833564359974
"119",NA,0.440947489521183
"120",NA,0.698564634138168
"121",NA,0.289314130721863
"122",NA,0.0189111137853719
"123",NA,0.134575480857677
"124",NA,0.14075981157168
"125",NA,0.636018183098865
"126",NA,0.0296412261146922
"127",NA,0.0704938667406264
"128",NA,0.17755613521105
"129",NA,0.403619849103379
"130",NA,0.0830916756899578
"131",0,0.117721910542662
"132",NA,0.306834421215504
"133",NA,0.0133758227483946
"134",NA,0.526216549702768
"135",NA,0.438570743083462
"136",NA,0.103398914512662
"137",NA,0.0403917781586433
"138",NA,0.588866944354598
"139",NA,0.745985750383598
"140",NA,0.0896997791470354
"141",NA,0.0574055638657621
"142",NA,0.949386072286712
"143",NA,0.0307614734230996
"144",NA,0.17755613521105
"145",NA,0.462729649015983
"146",NA,0.355352486990978
"147",NA,0.123572029515787
"148",NA,0.0958095672188389
"149",NA,0.201024066147774
"150",NA,0.0737594676409977
"151",NA,0.0380200297710926
"152",NA,0.0749623996589947
"153",NA,0.0142793236987631
"154",NA,0.653611982395975
"155",NA,0.065013633068725
"156",NA,0.0423264106404925
"157",NA,0.0380200297710926
"158",NA,0.023441055969794
"159",NA,0.427399411493865
"160",NA,0.336406329699113
"161",NA,0.211880677003596
"162",NA,0.359366078920086
"163",NA,0.026589629671456
"164",NA,0.640756837521957
"165",NA,0.0564671707243966
"166",NA,0.982057059781885
"167",NA,0.0784175398477365
"168",NA,0.424153927372768
"169",NA,0.0142793236987631
"170",NA,0.037385957929098
"171",NA,0.214813784255344
"172",NA,0.718711318555707
"173",NA,0.0309513274633136
"174",NA,0.0491392173656644
"175",NA,0.0405198150439478
"176",NA,0.742076408069642
"177",NA,0.223159849998906
"178",NA,0.00656854210539425
"179",NA,0.0749623996589947
"180",NA,0.0177198122167911
"181",NA,0.541887622556764
"182",NA,0.0532038321728861
"183",NA,0.0403917781586433
"184",NA,0.0599180038995309
"185",NA,0.079448343634093
"186",NA,0.0177198122167911
"187",NA,0.00656854210539425
"188",NA,0.0693572654455788
"189",NA,0.33714302874083
"190",NA,0.0539225926932091
"191",NA,0.0131471329801725
"192",NA,0.0756973334501637
"193",NA,0.0725743247641448
"194",NA,0.0458546711011089
"195",NA,0.292920761268385
"196",NA,0.0610989782919902
"197",NA,0.0749623996589947
"198",NA,0.553160550265151
"199",NA,0.017418163370148
"200",NA,0.0539225926932091
"201",NA,0.201554339174386
"202",NA,0.190589214922547
"203",NA,0.0142793236987631
"204",NA,0.00656854210539425
"205",NA,0.111010354427254
"206",NA,0.097334321050614
"207",NA,0.0725743247641448
"208",NA,0.83362096800066
"209",NA,0.355352486990978
"210",NA,0.701472884434839
"211",NA,0.27305531726865
"212",NA,0.604813733862841
"213",NA,0.103315132168278
"214",NA,0.110240002999045
"215",NA,0.113806653990463
"216",NA,0.0283600317150457
"217",NA,0.281330080824083
"218",NA,0.0250072040446939
"219",NA,0.140470484983452
"220",NA,0.0330022958461084
"221",NA,0.0380200297710926
"222",NA,0.00872131209883077
"223",NA,0.223159849998906
"224",NA,0.853784534880398
"225",NA,0.0270457386675639
"226",NA,0.0201157449326623
"227",NA,0.140361366657369
"228",NA,0.0614641960718271
"229",NA,0.0288456096177392
"230",NA,0.239169024039526
"231",NA,0.0307614734230996
"232",NA,0.0693572654455788
"233",NA,0.92414933263573
"234",NA,0.0250072040446939
"235",NA,0.201554339174386
"236",NA,0.489557512758702
"237",NA,0.0356687304231928
"238",NA,0.320067840289006
"239",NA,0.460107587961043
"240",NA,0.266881575411228
"241",NA,0.00872131209883077
"242",NA,0.100695044883231
"243",NA,0.0844329314674656
"244",NA,0.0430405268842444
"245",NA,0.281330080824083
"246",NA,0.30753637280583
"247",NA,0.345948558363275
"248",NA,0.0131471329801725
"249",NA,0.834374759666614
"250",NA,0.060104059706267
"251",NA,0.00656854210539425
"252",NA,0.306834421215504
"253",NA,0.24252976437064
"254",NA,0.0934854437840615
"255",NA,0.0796899037069406
"256",NA,0.0350724422667291
"257",NA,0.115918796144955
"258",0,0.0224414859750555
"259",NA,0.92786554082227
"260",NA,0.337345093656754
"261",NA,0.0704938667406264
"262",NA,0.12169166951812
"263",NA,0.151589774062128
"264",NA,0.0574055638657621
"265",NA,0.0434396258094561
"266",NA,0.326523533029271
"267",NA,0.115581209304102
"268",NA,0.374763073017158
"269",NA,0.4616850646274
"270",NA,0.28004825370583
"271",NA,0.0749623996589947
"272",NA,0.0301480598663317
"273",NA,0.0882829245466449
"274",NA,0.0201157449326623
"275",NA,0.0189111137853719
"276",NA,0.0499622802329173
"277",NA,0.0569833564359974
"278",NA,0.0610989782919902
"279",NA,0.808933105559485
"280",NA,0.0149341843102792
"281",NA,0.422383433055344
"282",NA,0.0678350883380736
"283",NA,0.0250072040446939
"284",NA,0.254912779450631
"285",NA,0.063762131389948
"286",NA,0.527799103306443
"287",NA,0.150775065017114
"288",NA,0.0288456096177392
"289",NA,0.982419495824583
